"행정구역(시군구)별","성별","국적(지역)별","항목","단위","2022 년","2021 년","2020 년","2019 년",
"계","계","계","지역, 국적 및 성별 등록외국인 현황[명]","명","1189585","1093891","1145540","1271807",
"계","계","한국계중국인","지역, 국적 및 성별 등록외국인 현황[명]","명","237869","253533","286933","332525",
"계","계","중국","지역, 국적 및 성별 등록외국인 현황[명]","명","181571","170852","178910","208081",
"계","계","베트남","지역, 국적 및 성별 등록외국인 현황[명]","명","196883","178928","181415","187334",
"계","계","우즈베키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","49149","44470","48371","56237",
"계","계","필리핀","지역, 국적 및 성별 등록외국인 현황[명]","명","43020","38035","40687","45354",
"계","계","캄보디아","지역, 국적 및 성별 등록외국인 현황[명]","명","45231","40263","40222","45016",
"계","계","네팔","지역, 국적 및 성별 등록외국인 현황[명]","명","44755","35447","38527","40933",
"계","계","인도네시아","지역, 국적 및 성별 등록외국인 현황[명]","명","40291","30514","33239","37043",
"계","계","타이(태국)","지역, 국적 및 성별 등록외국인 현황[명]","명","33775","31347","30801","32633",
"계","계","미얀마","지역, 국적 및 성별 등록외국인 현황[명]","명","30805","24283","24985","27483",
"계","계","미국","지역, 국적 및 성별 등록외국인 현황[명]","명","31000","28761","25910","26025",
"계","계","몽골","지역, 국적 및 성별 등록외국인 현황[명]","명","27884","23722","24515","24845",
"계","계","일본","지역, 국적 및 성별 등록외국인 현황[명]","명","26656","24479","22798","24316",
"계","계","스리랑카","지역, 국적 및 성별 등록외국인 현황[명]","명","22282","18915","21231","23476",
"계","계","타이완(대만)","지역, 국적 및 성별 등록외국인 현황[명]","명","17683","17651","18357","19872",
"계","계","카자흐스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","17239","14425","14377","17499",
"계","계","방글라데시","지역, 국적 및 성별 등록외국인 현황[명]","명","17539","13163","13813","14975",
"계","계","러시아(연방)","지역, 국적 및 성별 등록외국인 현황[명]","명","13969","12297","12227","12786",
"계","계","파키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","11806","10216","10644","11523",
"계","계","인도","지역, 국적 및 성별 등록외국인 현황[명]","명","12267","9979","9386","10090",
"계","계","키르기즈","지역, 국적 및 성별 등록외국인 현황[명]","명","5525","4283","4240","4982",
"계","계","영국","지역, 국적 및 성별 등록외국인 현황[명]","명","5125","4652","4170","4384",
"계","계","캐나다","지역, 국적 및 성별 등록외국인 현황[명]","명","4349","4189","4089","4358",
"계","계","말레이시아","지역, 국적 및 성별 등록외국인 현황[명]","명","3612","3442","3532","4249",
"계","계","프랑스","지역, 국적 및 성별 등록외국인 현황[명]","명","4852","3134","3091","3695",
