"행정구역별(시도)","다문화가구 구성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","다문화가구 구성별",총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처
"전국","계",334856,320964,132808,127805,8208,46873,5270,13892,353803,339056,133266,141843,8633,49977,5337,14747,367775,351212,129921,154525,9184,52312,5270,16563,385219,366947,132121,164739,9860,54648,5579,18272,399396,379625,133057,174030,10318,56586,5634,19771
"전국","내국인(귀화)",60707,56783,27891,15807,1253,10626,1206,3924,62945,58803,27585,17522,1295,11210,1191,4142,68086,63328,27980,20246,1479,12441,1182,4758,74247,68947,29678,22857,1675,13425,1312,5300,77418,71737,29806,24853,1825,13945,1308,5681
"전국","내국인(출생)+내국인(귀화)",77281,75611,26039,35220,2113,11402,837,1670,81285,79504,26225,38304,2224,11888,863,1781,85068,83115,26137,41400,2296,12400,882,1953,88809,86696,26311,44265,2379,12821,920,2113,93680,91429,27013,47562,2536,13350,968,2251
"전국","내국인(출생)+외국인(결혼이민자)",120283,115740,41693,54208,3170,15001,1668,4543,124514,119820,41147,58087,3187,15757,1642,4694,131834,126294,40590,64082,3455,16457,1710,5540,125932,120465,34703,64478,3492,16322,1470,5467,125109,119458,33310,65171,3515,16011,1451,5651
"전국","내국인(출생)+다문화자녀",31236,30383,11683,14045,853,3314,488,853,35913,34882,12505,17073,981,3791,532,1031,38347,37166,13411,17898,1037,4268,552,1181,41955,40671,14833,19576,1190,4447,625,1284,44488,43040,15306,21148,1225,4732,629,1448
"전국","내국인(귀화)+외국인(결혼이민자)",16118,15178,6019,4762,430,3751,216,940,18084,17018,6190,5912,480,4193,243,1066,20076,18733,6437,7011,569,4457,259,1343,20086,18611,5653,7590,578,4550,240,1475,23312,21579,6468,8957,652,5215,287,1733
"전국","기타",29231,27269,19483,3763,389,2779,855,1962,31062,29029,19614,4945,466,3138,866,2033,24364,22576,15366,3888,348,2289,685,1788,34190,31557,20943,5973,546,3083,1012,2633,35389,32382,21154,6339,565,3333,991,3007
"읍부","계",39055,37878,14217,18289,1406,3324,642,1177,42009,40892,14548,20462,1523,3709,650,1117,44908,43726,14980,22382,1649,4060,655,1182,48066,46744,15506,24332,1797,4411,698,1322,49296,47896,15738,25412,1886,4141,719,1400
